"MATRICOLA","CODICE","ESAME","DATA","VOTO","TIPO"
259188,"0100001","ALGEBRA","11/10/1977",26,"Superato"
259188,"0100004","ANALISI MATEMATICA I","06/07/1977",18,"Superato"
259188,"0100006","ANALISI MATEMATICA II","15/06/1979",18,"Superato"
259188,"0100014","BIOLOGIA GENERALE","18/12/1979",20,"Superato"
259188,"0100020","CALCOLO DELLE PROBABILITA'","07/02/1983",21,"Superato"
259188,"0100084","FISICA GENERALE I","25/02/1981",20,"Superato"
259188,"0100085","FISICA GENERALE II","30/06/1982",18,"Superato"
259188,"0100114","GEOMETRIA I","27/02/1978",25,"Superato"
259188,"0100115","GEOMETRIA II","26/02/1979",20,"Superato"
259188,"0100118","GEOMETRIA SUPERIORE","29/10/1999",21,"Superato"
259188,"0100137","MATEMATICHE ELEMENT.DAL PUNTO D.V.S.","31/10/1991",25,"Superato"
259188,"0100140","MECCANICA RAZIONALE","18/12/1980",20,"Superato"
259188,"0100176","TEORIA DELLE FUNZIONI","05/07/1990",24,"Superato"
259188,"0100179","TOPOLOGIA","13/07/1999",18,"Superato"
259188,"0100186","TEORIA DEI NUMERI","15/02/1991",25,"Superato"
1212656,"0100001","ALGEBRA","15/07/1986",28,"Superato"
1212656,"0100004","ANALISI MATEMATICA I","01/07/1986",28,"Superato"
1212656,"0100006","ANALISI MATEMATICA II","02/07/1987",26,"Superato"
1212656,"0100011","APPLICAZIONI DI MATEMATICHE SUPERIORI","03/11/1989",28,"Superato"
1212656,"0100021","CALCOLI NUMERICI E GRAFICI","14/07/1989",28,"Superato"
1212656,"0100084","FISICA GENERALE I","06/11/1987",26,"Superato"
1212656,"0100085","FISICA GENERALE II","11/11/1988",25,"Superato"
1212656,"0100114","GEOMETRIA I","13/11/1986",24,"Superato"
1212656,"0100115","GEOMETRIA II","15/06/1988",28,"Superato"
1212656,"0100122","ISTITUZIONI DI FISICA MATEMATICA","07/06/1994",26,"Superato"
1212656,"0100135","LOGICA MATEMATICA","21/09/1988",28,"Superato"
1212656,"0100140","MECCANICA RAZIONALE","11/06/1991",25,"Superato"
1212656,"0100171","STATISTICA MATEMATICA","21/12/1990",25,"Superato"
1212656,"0100175","TEORIA E APPLICAZ.MACCHINE CALCOLATRICI","29/09/1998",30,"Superato"
1212656,"0100242","ANALISI NUMERICA","18/12/1990",20,"Superato"
1562641,"0100001","ALGEBRA","07/06/1991",24,"Superato"
1562641,"0100004","ANALISI MATEMATICA I","24/07/1991",24,"Superato"
1562641,"0100006","ANALISI MATEMATICA II","03/06/1992",22,"Superato"
1562641,"0100011","APPLICAZIONI DI MATEMATICHE SUPERIORI","28/07/1994",30,"Superato"
1562641,"0100021","CALCOLI NUMERICI E GRAFICI","26/04/1994",30,"Superato"
1562641,"0100084","FISICA GENERALE I","26/02/1993",19,"Superato"
1562641,"0100085","FISICA GENERALE II","20/11/1996",28,"Superato"
1562641,"0100114","GEOMETRIA I","08/10/1992",26,"Superato"
1562641,"0100115","GEOMETRIA II","12/10/1993",18,"Superato"
1562641,"0100135","LOGICA MATEMATICA","21/06/1994",29,"Superato"
1562641,"0100140","MECCANICA RAZIONALE","14/02/1995",27,"Superato"
1562641,"0100171","STATISTICA MATEMATICA","02/08/1995",30,"Superato"
1562641,"0100175","TEORIA E APPLICAZ.MACCHINE CALCOLATRICI","05/06/1997",27,"Superato"
1562641,"0100242","ANALISI NUMERICA","29/04/1996",24,"Superato"
1562641,"0100409","LINGUAGGI PROGRAMMATIVI","15/07/1999",27,"Superato"
1590242,"0100001","ALGEBRA","03/11/1993",27,"Superato"
1590242,"0100004","ANALISI MATEMATICA I","23/10/1990",25,"Convalidato"
