## Prezzi di appartamenti in provincia di Pistoia 2015. 

prezzo superficie locali
129 125   5 
109  56   2 
149  55   2 
138 100   5 
107  70   4 
147  90   4 
153  80   5 
 42  65   5 
 78  75   4 
145 240   6
135  70   3 
120  85   4 
147  90   4 
129 125   5 
105  80   4 
150  70   3 
 99  70   3 
125  85   3 
 77  65   3 
 85 110   6
 70  58   3 
138  95   4 
140  93   4 
115  90   4 
 82  78   3 
102  68   3 
147  85   3 
115  68   3 
134 120   4 
150 105   4 
 73  50   2 
155 100   4 
 60  70   2 
140  78   3 
155  78   3 
197 105   4 
 75  90   3 
190 120   4 
215 110   4 
109  65   3 
 95  75   3 
 90  97   3 
110 120   4 
 89  72   3 
120 120   4 
170  90   3 
118  85   3 
115  80   3 
105  70   4 
145  99   4 
 85  65   2 
180  88   2 
190  98   2 
246 100   3 
 99 113   3 
160 150   6
190  80   4 
 78  86   3 
145  75   3 
190  85   4 
260 110   4 
 68  75   3 
188 116   5 
 60  61   3 
 98  90   3 
195  84   3 
120 100   4 
105 146   4 
120  90   3 
260 150   5 
120  53   3 
170 132   5 
 82  65   3 
160  90   5 
 90  70   3 
125  80   3 
128  65   3 
240 185   6
218  84   4 
 85  75   3 
140 130   5 
130  90   4 
 98  55   3 
 90  70   4 
200 200   6
239 120   4 
230  90   3 
550 160   5 
280 130   4 
145 140   5 
125  85   3 
145 130   4 
160 110   6
120 110   4 
235 160   4 
280 170   4 
 69  75   3 
 59  85   3 
 99  50   3 
 62  50   2 
 79  45   2 
163 130   6
120 120   4 
 75  70   3 
115  80   3 
115  95   4 
 80  85   3 
214 130   4 
 42  70   3 
125  62   3 
160  83   NA
 90  45   3 
195 120   5 
165 100   5 
298 140   6
190  80   3 
230 140   5 
180 110   5 
144  86   4 
120  80   4 
120  45   2 
300 160   5 
115  65   3 
130  75   3 
135 110   5 
165 110   5 
 80  65   3 
180 100   5 
240 135   5 
260 145   5 
230 110   4 
160 110   5 
105  86   4 
250 120   5 
 80  55   2 
100  55   2 
115  50   2 
128  65   3 
 95  61   2 
110  70   3 
 85  48   2 
135  85   4 
 75  70   3 
159  85   4 
140  60   2 
120  55   2 
110  70   3 
115  50   2 
230 110   4 
250 120   5 
265 130   6
139 120   4 
170  90   5 
160 150   6
 95  90   4 
 83  80   4 
120  75   5 
147  85   3 
 65  70   4 
 95  35   2 
150  60   3 
225 100   5 
 75  58   4 
147  85   4 
350 200   6
170  83   4 
198 130   6
120 160   6
175  80   4 
140 100   4 
175 160   6
218 140   6
 83  80   3 
240 120   5 
325 110   6
398 130   6
250 120   5 
300 115   5 
 79  43   2 
320 155   6
300 160   6
270 140   6
180 110   6
210  73   4 
150 110   6
200 110   5 
105  70   3 
 65 125   6
120  80   4 
175 115   4 
200 100   3 
160  70   5 
 79 140   4 
 79  80   3 
 98  85   4 
150 115   5 
132  80   4 
 70 104   3 
 70  85   4 
 67  50   3 
215 138   5 
100 108   5 
130  90   4 
 75  50   2 
239 120   4 
120  50   2 
225 100   4 
 95  80   3 
 79  60   2 
133  90   3 
220 100   3 
110  90   3 
280 145   6
168  75   4 
129 102   4 
154  75   3 
 85  70   5 
120  65   2 
180 130   6
 99  80   4 
115  75   4 
145  85   3 
180  75   3 
130 120   5 
170  80   4 
210 155   5 
205 125   5 
320 130   5 
110  75   3 
295 150   6
205 125   6
155  75   3 
220 120   6
 80  60   2 
 85  45   3 
135  75   6
135  72   3 
240 120   6
 90  85   NA
 75  85   5 
130 140   5 
200  75   3 
188 110   5 
225  90   4 
170  65   3 
195 110   4 
140  90   4 
239 195   5 
 99  68   3 
138 100   4 
 55  35   1 
 98 100   5 
 99 100   5 
 98  55   3 
130  77   4 
155  70   3 
 88  50   3 
160  75   3 
175 115   5 
125  95   3 
138  95   4 
235 110   5 
 78  50   5 
105  80   4 
275  90   4 
205  75   3 
210  90   4 
195  95   4 
170 120   6
350 210   5 
122  80   4 
 98  55   3 
105 155   6
125  65   3 
130 100   5 
130 125   NA
 85  45   3 
270 120   6
300 140   6
235 110   5 
140  80   4 
155  70   3 
105  70   3 
145  57   2 
 80  40   NA
235  77   3 
215  90   4 
205  80   4 
155  55   3 
 69  72   3 
109  60   3 
128  57   2 
120 100   4 
100  70   4 
150  90   6
225  85   4 
195 100   4 
 80  50   2 
135  60   2 
 40  45   2 
 79  80   5 
140  75   4 
195  95   5 
138  80   4 
235  90   4 
140  80   4 
110  80   4 
 65  50   3 
 40  75   4 
210 105   4 
 92  59   3 
150 103   4 
100  78   3 
 55  55   3 
 91  75   4 
120  60   3 
130 130   5 
245 130   6
150  71   3 
 60  43   2 
 64  50   3 
130  65   3 
 70  99   4 
145  40   2 
200 102   5 
360 130   5 
220 110   5 
 96  25   3 

