"","Age","Weight","Height","Gender"
"1",21,65.6,174,1
"2",23,71.8,175.3,1
"3",28,80.7,193.5,1
"4",23,72.6,186.5,1
"5",22,78.8,187.2,1
"6",21,74.8,181.5,1
"7",26,86.4,184,1
"8",27,78.4,184.5,1
"9",23,62,175,1
"10",21,81.6,184,1
"11",23,76.6,180,1
"12",22,83.6,177.8,1
"13",20,90,192,1
"14",26,74.6,176,1
"15",23,71,174,1
"16",22,79.6,184,1
"17",30,93.8,192.7,1
"18",22,70,171.5,1
"19",29,72.4,173,1
"20",22,85.9,176,1
"21",22,78.8,176,1
"22",20,77.8,180.5,1
"23",22,66.2,172.7,1
"24",24,86.4,176,1
"25",26,81.8,173.5,1
"26",24,89.6,178,1
"27",21,82.8,180.3,1
"28",24,76.4,180.3,1
"29",23,63.2,164.5,1
"30",19,60.9,173,1
"31",23,74.8,183.5,1
"32",25,70,175.5,1
"33",23,72.4,188,1
"34",23,84.1,189.2,1
"35",23,69.1,172.8,1
"36",20,59.5,170,1
"37",22,67.2,182,1
"38",24,61.3,170,1
"39",22,68.6,177.8,1
"40",24,80.1,184.2,1
"41",21,87.8,186.7,1
"42",23,84.7,171.4,1
"43",24,73.4,172.7,1
"44",35,72.1,175.3,1
"45",29,82.6,180.3,1
"46",25,88.7,182.9,1
"47",23,84.1,188,1
"48",20,94.1,177.2,1
"49",25,74.9,172.1,1
"50",29,59.1,167,1
"51",23,75.6,169.5,1
"52",23,86.2,174,1
"53",36,75.3,172.7,1
"54",25,87.1,182.2,1
"55",24,55.2,164.1,1
"56",20,57,163,1
"57",52,61.4,171.5,1
"58",50,76.8,184.2,1
"59",46,86.8,174,1
"60",51,72.2,174,1
"61",28,71.6,177,1
"62",48,84.8,186,1
"63",35,68.2,167,1
"64",23,66.1,171.8,1
"65",23,72,182,1
"66",62,64.6,167,1
"67",21,74.8,177.8,1
"68",26,70,164.5,1
"69",33,101.6,192,1
"70",36,63.2,175.5,1
"71",41,79.1,171.2,1
"72",40,78.9,181.6,1
"73",27,67.7,167.4,1
"74",27,66,181.1,1
"75",23,68.2,177,1
"76",31,63.9,174.5,1
"77",26,72,177.5,1
"78",23,56.8,170.5,1
"79",24,74.5,182.4,1
"80",24,90.9,197.1,1
"81",34,93,180.1,1
"82",21,80.9,175.5,1
"83",25,72.7,180.6,1
"84",34,68,184.4,1
"85",31,70.9,175.5,1
"86",40,72.5,180.6,1
"87",21,72.5,177,1
"88",33,83.4,177.1,1
"89",25,75.5,181.6,1
"90",29,73,176.5,1
"91",27,70.2,175,1
"92",44,73.4,174,1
"93",26,70.5,165.1,1
"94",22,68.9,177,1
"95",37,102.3,192,1
"96",38,68.4,176.5,1
"97",20,65.9,169.4,1
"98",21,75.7,182.1,1
"99",24,84.5,179.8,1
"100",45,87.7,175.3,1
"101",25,86.4,184.9,1
"102",22,73.2,177.3,1
"103",29,53.9,167.4,1
"104",37,72,178.1,1
"105",20,55.5,168.9,1
"106",20,58.4,157.2,1
"107",32,83.2,180.3,1
"108",23,72.7,170.2,1
"109",25,64.1,177.8,1
"110",27,72.3,172.7,1
"111",21,65,165.1,1
"112",27,86.4,186.7,1
"113",25,65,165.1,1
"114",38,88.6,174,1
"115",44,84.1,175.3,1
"116",27,66.8,185.4,1
"117",37,75.5,177.8,1
"118",28,93.2,180.3,1
"119",33,82.7,180.3,1
"120",25,58,177.8,1
"121",21,79.5,177.8,1
"122",30,78.6,177.8,1
"123",26,71.8,177.8,1
"124",27,116.4,177.8,1
"125",33,72.2,163.8,1
"126",29,83.6,188,1
"127",27,85.5,198.1,1
"128",34,90.9,175.3,1
"129",42,85.9,166.4,1
"130",29,89.1,190.5,1
"131",41,75,166.4,1
"132",43,77.7,177.8,1
"133",43,86.4,179.7,1
"134",29,90.9,172.7,1
"135",27,73.6,190.5,1
"136",62,76.4,185.4,1
"137",33,69.1,168.9,1
"138",45,84.5,167.6,1
"139",30,64.5,175.3,1
"140",20,69.1,170.2,1
"141",22,108.6,190.5,1
"142",51,86.4,177.8,1
"143",34,80.9,190.5,1
"144",44,87.7,177.8,1
"145",46,94.5,184.2,1
"146",34,80.2,176.5,1
"147",32,72,177.8,1
"148",28,71.4,180.3,1
"149",31,72.7,171.4,1
"150",29,84.1,172.7,1
"151",42,76.8,172.7,1
"152",29,63.6,177.8,1
"153",31,80.9,177.8,1
"154",30,80.9,182.9,1
"155",27,85.5,170.2,1
"156",25,68.6,167.6,1
"157",24,67.7,175.3,1
"158",33,66.4,165.1,1
"159",45,102.3,185.4,1
"160",37,70.5,181.6,1
"161",44,95.9,172.7,1
"162",34,84.1,190.5,1
"163",55,87.3,179.1,1
"164",43,71.8,175.3,1
"165",24,65.9,170.2,1
"166",22,95.9,193,1
"167",38,91.4,171.4,1
"168",24,81.8,177.8,1
"169",29,96.8,177.8,1
"170",25,69.1,167.6,1
"171",37,82.7,167.6,1
"172",30,75.5,180.3,1
"173",26,79.5,182.9,1
"174",35,73.6,176.5,1
"175",29,91.8,186.7,1
"176",30,84.1,188,1
"177",37,85.9,188,1
"178",34,81.8,177.8,1
"179",28,82.5,174,1
"180",27,80.5,177.8,1
"181",32,70,171.4,1
"182",28,81.8,185.4,1
"183",22,84.1,185.4,1
"184",44,90.5,188,1
"185",25,91.4,188,1
"186",49,89.1,182.9,1
"187",54,85,176.5,1
"188",49,69.1,175.3,1
"189",60,73.6,175.3,1
"190",42,80.5,188,1
"191",52,82.7,188,1
"192",23,86.4,175.3,1
"193",33,67.7,170.5,1
"194",46,92.7,179.1,1
"195",43,93.6,177.8,1
"196",56,70.9,175.3,1
"197",21,75,182.9,1
"198",18,93.2,170.8,1
"199",21,93.2,188,1
"200",45,77.7,180.3,1
"201",22,61.4,177.8,1
"202",55,94.1,185.4,1
"203",42,75,168.9,1
"204",29,83.6,185.4,1
"205",40,85.5,180.3,1
"206",24,73.9,174,1
"207",62,66.8,167.6,1
"208",26,87.3,182.9,1
"209",35,72.3,160,1
"210",37,88.6,180.3,1
"211",34,75.5,167.6,1
"212",25,101.4,186.7,1
"213",30,91.1,175.3,1
"214",32,67.3,175.3,1
"215",27,77.7,175.9,1
"216",42,81.8,175.3,1
"217",44,75.5,179.1,1
"218",46,84.5,181.6,1
"219",19,76.6,177.8,1
"220",43,85,182.9,1
"221",28,102.5,177.8,1
"222",39,77.3,184.2,1
"223",30,71.8,179.1,1
"224",36,87.9,176.5,1
"225",48,94.3,188,1
"226",48,70.9,174,1
"227",53,64.5,167.6,1
"228",45,77.3,170.2,1
"229",39,72.3,167.6,1
"230",43,87.3,188,1
"231",65,80,174,1
"232",45,82.3,176.5,1
"233",37,73.6,180.3,1
"234",55,74.1,167.6,1
"235",33,85.9,188,1
"236",25,73.2,180.3,1
"237",35,76.3,167.6,1
"238",28,65.9,183,1
