    Y  X  Z  U  V           W  A  B           WA
  6.8 35 22 32 35  3.08333333  1  1   3.08333333
  9.9 38 28 30 37  8.75000000  1 -1   8.75000000
  8.3 42 20 20 38  5.00000000  1  1   5.00000000
 10.9 44 15 22 44 15.41666667 -1 -1 -15.41666667
  7.0 38 15 25 44  5.00000000  1 -1   5.00000000
  8.8 41 28 35 48 17.00000000  1 -1  17.00000000
 11.5 40 12 39 42  0.66666667 -1  1  -0.66666667
  9.9 37 21 24 42  0.75000000 -1 -1  -0.75000000
  9.5 30 23 31 43 17.00000000 -1 -1 -17.00000000
  7.0 41 19 26 45  5.00000000  1  1   5.00000000
 13.5 35 21 24 45  0.08333333 -1  1  -0.08333333
  7.4 36 18 29 44 20.00000000  1  1  20.00000000
 10.8 34 15 27 48  0.41666667 -1  1  -0.41666667
 10.2 25 24 31 41 12.08333333  1 -1  12.08333333
  6.2 41 18 17 47  1.50000000  1 -1   1.50000000
  6.8 39 19 28 37  8.00000000 -1  1  -8.00000000
  8.3 40 14 22 44  1.33333333  1  1   1.33333333
  8.3 35 17 25 44 20.00000000 -1 -1 -20.00000000
  8.3 44  8 14 48  1.50000000  1  1   1.50000000
 13.2 11 21 18 45  8.00000000 -1 -1  -8.00000000
  9.0 27 33 30 27 11.66666667 -1  1 -11.66666667
 12.9 16 28 26 37  7.00000000 -1  1  -7.00000000
 10.0 41 15 22 40  0.00000000  1 -1   0.00000000
  6.9 39 22 25 38 10.00000000 -1  1 -10.00000000
 11.5 34 17 21 42 11.25000000  1 -1  11.25000000
 10.2 42 17 25 38 10.00000000  1  1  10.00000000
  9.1 28 21 29 44 24.00000000 -1 -1 -24.00000000
  9.7 27 30 42 46 20.00000000 -1 -1 -20.00000000
  9.2 24 22 17 46 18.00000000 -1  1 -18.00000000
  8.8 44 11 11 46  5.00000000  1  1   5.00000000
  7.3 42 17 25 47 17.50000000 -1 -1 -17.50000000
  5.9 42 12 31 46  0.66666667  1 -1   0.66666667
  7.4 40 15 14 47 16.25000000 -1  1 -16.25000000
  8.9 40 27 30 44 21.25000000 -1  1 -21.25000000
  6.4 37 14 29 34  0.41666667  1 -1   0.41666667
 10.4 26 31 29 43  6.25000000 -1 -1  -6.25000000
  9.0 30 28 28 43 20.00000000 -1  1 -20.00000000
 14.1 32 15 27 47  5.00000000 -1 -1  -5.00000000
 11.7 42 14 23 40  7.00000000 -1 -1  -7.00000000
 10.5 42 15 22 44  9.00000000  1 -1   9.00000000
  9.2 34 14 13 45 20.00000000  1 -1  20.00000000
 11.2 41 21 24 38 11.66666667 -1 -1 -11.66666667
 10.0 24 13 33 39 16.66666667 -1 -1 -16.66666667
 10.8 21 25 34 38  2.08333333 -1 -1  -2.08333333
  7.6 31 21 21 39 15.00000000 -1  1 -15.00000000
  8.0 42 16 23 34 14.16666667 -1  1 -14.16666667
  9.2 28 23 28 35  6.25000000 -1  1  -6.25000000
  7.4 26 17 22 38  9.16666667  1  1   9.16666667
  6.8 42 16 32 43 18.00000000 -1  1 -18.00000000
  8.5 44 14 18 41 15.00000000  1 -1  15.00000000
 11.0 42 14  8 45 14.16666667 -1  1 -14.16666667
 11.0 37 12 14 48  5.00000000 -1 -1  -5.00000000
  5.4 38 13 17 40 10.00000000  1 -1  10.00000000
  8.7 35 23 34 27  7.08333333  1  1   7.08333333
 13.0 34 18 20 37  0.25000000 -1  1  -0.25000000
 10.2 26 20 30 42 10.00000000  1 -1  10.00000000
  8.5 38 16 13 45  7.08333333  1  1   7.08333333
 11.3 35 25 29 39 12.08333333 -1  1 -12.08333333
 13.6 34 20 24 38  9.16666667  1  1   9.16666667
  8.0 35 19 24 40 10.00000000  1 -1  10.00000000
  8.7 42 20 17 35  8.33333333 -1 -1  -8.33333333
  8.6 46 10  8 47  0.16666667  1 -1   0.16666667
 11.7 45 18 17 38 18.33333333  1  1  18.33333333
 10.7 26 22 24 37 10.00000000 -1 -1 -10.00000000
  8.5 37 22 27 38 22.50000000 -1  1 -22.50000000
  8.4 33 11 18 39 20.83333333 -1  1 -20.83333333
  7.8 39 25 18 36 20.00000000  1  1  20.00000000
 10.1 31 24 31 47 21.66666667 -1  1 -21.66666667
