years    y    x
 1884 27.2  7.2
 1885 31.7  0.5
 1886 36.9 19.6
 1887 36.6  1.7
 1888 13.3  2.1
 1889 27.7  4.0
 1890 28.7  4.4
 1891 23.9  8.8
 1892 55.6  3.5
 1893 41.7  8.2
 1894 15.4  0.8
 1895 24.4  2.6
 1896 44.6  8.8
 1897 26.5  4.8
 1898 48.3 14.1
 1899 35.4  1.0
 1900 33.7  7.8
 1901 19.2  3.2
 1902 36.4  2.4
 1903 43.6  2.5
 1904 30.8  0.3
 1905 33.7 11.5
 1906 52.6  3.0
 1907 51.9  0.3
 1908 64.4  0.3
 1909 45.2 11.0
 1910 33.6  3.9
 1911 30.6 12.1
 1912 46.4  1.0
 1913 21.9  0.6
 1914 47.5  0.4
 1915 45.6  5.1
 1916 84.8  0.1
 1917 29.9  0.9
 1918 24.9  0.5
 1919 53.9 11.0
 1920 19.5  1.1
 1921 26.7 16.6
 1922 41.4  0.8
 1923 31.0  1.4
 1924 20.0  3.2
 1925 33.4  3.6
 1926 25.2  4.9
 1927 51.8  5.3
 1928 47.4   NA
 1929 24.8  2.7
 1930  9.5  4.7
 1931 45.9  0.7
 1932 33.9  0.8
 1933 19.9  5.7
 1934 43.1  8.5
 1935 56.2  2.6
 1936 42.9  1.7
 1937 28.3  1.2
 1938 41.1  0.5
 1939 45.1   NA
 1940 26.2 26.3
 1941 20.1  3.8
 1942 33.5  0.9
 1943 16.6 10.3
 1944 31.4  2.5
 1945 35.4  4.5
 1946 20.9  4.1
 1947 27.3 21.8
 1948 35.8  2.5
 1949 48.9  2.7
 1950 83.3  5.6
 1951 68.2 10.8
 1952 32.8 10.1
 1953 23.8  1.9
 1954 27.5  6.4
 1955 39.2  6.0
 1956 32.3  6.8
 1957 10.9 10.3
 1958 15.8  3.3
 1959 24.9  6.9
 1960 37.8  2.4
 1961 78.8  2.5
 1962 28.9  5.6
 1963 28.9  0.0
 1964 69.4  4.3
 1965 34.5  1.6
 1966 75.0  3.4
 1967 16.7  0.8
 1968 63.2  4.9
 1969 59.6  3.8
 1970 48.4  6.3
 1971 51.0 13.2
 1972 40.6  1.1
 1973 51.1  0.1
 1974 63.0  1.2
