# 125 years of Twin Cities Monthly and Seasonal Snowfall Totals (inches) 1884 - 2011
# NAs are traces (originally coded as T) see: http://climate.umn.edu/text/historical/mspsnow.txt
Year    Jul  Aug  Sep  Oct  Nov  Dec  Jan  Feb  Mar  Apr  May  Jun  Total
1884   0.0  0.0  0.0  1.1  7.2 14.9  3.5  2.0  3.9  1.4  0.4  0.0   34.4 
1885   0.0  0.0  0.0  0.2  0.5  3.5 14.7  2.8 10.4  0.1  0.0  0.0   32.2   
1886   0.0  0.0  0.0  0.0 19.6  5.7 21.6  6.9  1.7  1.0  0.0  0.0   56.5  
1887   0.0  0.0  0.0  0.2  1.7 15.4  4.5  3.4 11.9  0.2  1.0  0.0   38.3  
1888   0.0  0.0  0.0  0.5  2.1  2.2  2.6  3.9  4.1   NA   0.0  0.0   15.4
1889   0.0  0.0   NA   0.0  4.0  5.5  8.3  4.4  7.5   NA   2.0  0.0   31.7   
1890   0.0  0.0  0.0   NA   4.4  2.3  4.7 12.3  6.2  3.2   NA   0.0   33.1
1891   0.0  0.0  0.0  0.0  8.8  5.8  0.6  7.2  7.3   NA   3.0  0.0   32.7
1892   0.0  0.0  0.0  0.0  3.5  6.3 11.4 17.8  7.1 13.0   NA   0.0   59.1
1893   0.0  0.0  0.0  0.0  8.2 12.4 12.0  0.3 11.2  5.8  0.0  0.0   49.9
1894   0.0  0.0  0.0   NA   0.8  2.7  9.0  3.3  0.4  0.0  0.0  0.0   16.2
1895   0.0  0.0  0.0  0.4  2.6  0.6  5.2  2.2  8.6  7.4  0.0  0.0   27.0
1896   0.0  0.0  0.0   NA   8.8  4.2 13.6 10.3 16.0  0.5  0.0  0.0   53.4
1897   0.0  0.0  0.0  0.0  4.8  1.5  0.6  9.6 12.7  2.1  0.0  0.0   31.3
1898   0.0  0.0  0.0   NA  14.1  1.5  8.0 15.2 23.6   NA   0.0  0.0   62.4
1899   0.0  0.0  0.0  0.1  1.0  1.9  6.1  9.1 16.7  1.5  0.0  0.0   36.4
1900   0.0  0.0  0.0  0.0  7.8  4.3  5.8  4.5 19.1   NA   0.0  0.0   41.5
1901   0.0  0.0  0.0  0.0  3.2  7.2  5.3  4.4  1.5  0.8   NA   0.0   22.4
1902   0.0  0.0  0.0  0.0  2.4 24.0  4.2  2.6  4.1  1.5   NA   0.0   38.8
1903   0.0  0.0  0.0  0.0  2.5  8.3  8.5 13.2  5.8  7.8  0.0  0.0   46.1
1904   0.0  0.0  0.0   NA   0.3  7.4 13.1  9.3  1.0   NA    NA   0.0   31.1
1905   0.0  0.0  0.0  5.5 11.5  1.9 17.7  4.5  4.0   NA   0.1  0.0   45.2
1906   0.0  0.0  0.0   NA   3.0  8.6 12.8 11.6  5.8 13.0  0.8  0.0   55.6
1907   0.0  0.0  0.0  0.0  0.3  7.3  8.0 10.6 14.3 11.7   NA   0.0   52.2
1908   0.0  0.0   NA   0.0  0.3 13.5 12.7 24.2  3.7  8.5  1.8  0.0   64.7
1909   0.0  0.0  0.0   NA  11.0 19.2 14.1  6.1  0.9  4.9  0.0  0.0   56.2
1910   0.0  0.0  0.0  0.1  3.9  4.2 10.1  5.9  4.6  8.7  0.0  0.0   37.5
1911   0.0  0.0  0.0   NA  12.1 14.4  8.4  2.7  4.6  0.5  0.0  0.0   42.7
1912   0.0  0.0  0.0   NA   1.0 13.6  4.5 11.7 11.6  5.0  0.0  0.0   47.4
1913   0.0  0.0  0.0  1.1  0.6   NA   7.7  6.8  2.9  3.4  0.0  0.0   22.5
1914   0.0  0.0  0.0  0.0  0.4  8.4 16.4  6.4 14.3  0.0  2.0  0.0   47.9
1915   0.0  0.0  0.0   NA   5.1  7.6 23.9  7.3  5.6  1.2   NA   0.0   50.7
1916   0.0  0.0   NA   4.3  0.1 13.6 28.8  7.7 29.9  0.5  0.0  0.0   84.9
1917   0.0  0.0  0.0  2.3  0.9  6.2  5.3  4.9 11.2   NA   0.0  0.0   30.8
1918   0.0  0.0  0.0   NA   0.5  4.8  4.6 11.8  1.5  2.2  0.0  0.0   25.4
1919   0.0  0.0  0.0  2.6 11.0  8.0 18.5  5.0 14.3  5.5  0.0  0.0   64.9
1920   0.0  0.0  0.0   NA   1.1  9.4  3.4  5.6  1.0  0.1   NA   0.0   20.6
1921   0.0  0.0  0.0   NA  16.6  3.2  7.0 13.6  1.4  1.5  0.0  0.0   43.3
1922   0.0  0.0  0.0  0.4  0.8  1.7 11.8  4.2 11.8 11.0  0.5  0.0   42.2
1923   0.0  0.0  0.0   NA   1.4  2.7  7.7  5.5 12.6  2.0  0.5  0.0   32.4
