"","VOTOMAT","PUNTEGGIO","SESSO","SCUOLA"
"1",77,13,"F","A"
"2",73,7.5,"M","A"
"3",72,6.5,"M","A"
"4",60,18,"M","A"
"5",100,14.75,"M","A"
"6",60,12.25,"M","A"
"7",87,13.75,"F","A"
"8",100,14.5,"F","A"
"9",73,11.25,"F","A"
"10",98,8.25,"F","A"
"11",75,8.75,"F","A"
"12",60,9.75,"M","A"
"13",64,11,"M","A"
"14",60,11.5,"M","A"
"15",67,16.5,"F","A"
"16",83,12.5,"M","A"
"17",75,10.75,"F","A"
"18",76,10,"M","A"
"19",98,14.5,"M","P"
"20",85,12.75,"F","P"
"21",85,8.75,"F","P"
"22",64,12.5,"F","P"
"23",63,11,"M","P"
"24",92,15.5,"F","P"
"25",85,11.25,"M","P"
"26",77,17,"M","P"
"27",82,13.25,"F","P"
"28",83,13.75,"M","P"
"29",78,14.5,"M","P"
"30",70,4,"F","P"
"31",100,7,"F","P"
"32",70,10,"M","P"
"33",76,12.25,"M","P"
"34",81,14.25,"F","P"
"35",74,12.75,"M","P"
"36",75,9.25,"F","P"
"37",74,14.5,"F","P"
"38",84,5.75,"F","P"
"39",85,7,"M","P"
"40",71,9.5,"M","P"
"41",90,20.5,"M","P"
"42",83,16.25,"M","P"
"43",81,13.25,"M","P"
"44",88,7.75,"M","P"
"45",83,12.75,"F","P"
"46",80,15.5,"M","P"
"47",68,10.75,"F","P"
"48",91,11,"F","P"
"49",74,6.5,"F","P"
"50",68,5.25,"M","P"
"51",75,6.5,"M","P"
"52",72,9.75,"F","P"
"53",60,7,"F","P"
"54",64,9.25,"M","P"
"55",62,6.5,"F","P"
"56",86,9.75,"M","P"
"57",67,10,"F","P"
"58",100,13.75,"F","P"
"59",76,11.25,"F","P"
"60",80,6.75,"F","P"
"61",67,9.5,"M","P"
"62",84,8.5,"F","P"
"63",86,15.5,"F","P"
"64",80,7.75,"F","P"
"65",97,15,"F","P"
"66",84,7.25,"F","P"
"67",66,7.75,"M","P"
"68",92,13,"F","P"
"69",78,12,"F","P"
"70",74,10.5,"F","P"
"71",100,10,"F","P"
"72",79,12.75,"F","P"
"73",77,13,"F","P"
"74",61,-1,"F","P"
"75",80,10.5,"F","P"
"76",70,15.5,"M","P"
"77",94,12,"M","P"
"78",80,19.5,"M","P"
"79",73,5,"M","P"
"80",72,13,"M","P"
"81",91,8.5,"M","P"
"82",70,8.5,"M","T"
"83",84,7.5,"F","T"
"84",60,11.25,"F","T"
"85",77,16.25,"M","T"
"86",70,16.5,"M","T"
"87",67,16.5,"M","T"
"88",73,8.75,"F","T"
"89",60,15.75,"M","T"
"90",76,7,"M","T"
"91",80,7,"F","T"
"92",64,8.75,"F","T"
"93",70,14,"F","T"
"94",68,12,"M","T"
"95",90,17,"M","T"
"96",80,11.25,"M","T"
"97",74,12.75,"M","T"
"98",85,10.5,"M","T"
"99",72,9.5,"F","T"
"100",66,9,"F","T"
"101",97,19,"F","T"
"102",87,8,"F","T"
"103",78,9.5,"F","T"
"104",62,16.5,"F","T"
"105",68,13.25,"F","T"
"106",75,8.5,"F","T"
"107",82,11.5,"F","T"
"108",80,4,"F","T"
"109",82,12.75,"F","T"
"110",73,12.5,"F","T"
"111",87,12.75,"M","T"
"112",92,13.5,"F","T"
"113",76,9.25,"F","T"
"114",92,15,"F","T"
"115",100,16.25,"F","T"
"116",72,9.5,"F","T"
"117",78,13,"F","T"
"118",83,16,"M","T"
"119",76,10,"M","T"
"120",92,6.5,"M","T"
"121",65,10,"F","T"
"122",85,15.25,"F","T"
"123",100,11.25,"F","T"
"124",74,8.75,"F","T"
"125",100,6.75,"F","T"
"126",80,12.5,"M","T"
"127",64,9,"F","T"
"128",100,10,"F","T"
"129",78,9.75,"F","T"
"130",100,14.25,"M","T"
"131",80,13,"F","T"
"132",71,2.75,"F","T"
"133",85,12.25,"M","T"
"134",62,10.75,"M","T"
"135",65,9.5,"F","T"
"136",73,12,"F","T"
"137",80,11.75,"M","T"
"138",84,18.25,"F","T"
"139",71,7.5,"F","T"
"140",74,15,"M","T"
"141",95,16,"M","T"
"142",92,10.5,"F","T"
"143",84,12,"M","T"
"144",80,13,"F","T"
"145",85,16.25,"M","T"
"146",100,18.75,"M","T"
"147",70,10.25,"M","T"
"148",68,7.25,"F","T"
"149",70,7.5,"M","T"
"150",70,10.75,"M","T"
"151",95,13.75,"F","T"
"152",92,9.25,"M","T"
"153",100,10.5,"F","T"
"154",82,11.25,"F","T"
"155",81,13.5,"F","T"
"156",84,9,"F","T"
"157",84,15.75,"M","T"
"158",97,15.25,"F","T"
"159",82,13.75,"F","T"
