sesso,prov,comune,istituto,tipo,annomat,votomat,score,idtest
F,48,38,Istituto d&#39;Arte,Istituto d'Arte,2009,77,13,28
M,47,17,Istituto d&#39;Arte,Istituto d'Arte,2006,73,7.5,28
M,51,2,Istituto d&#39;Arte,Istituto d'Arte,2013,72,6.5,28
M,57,59,Istituto Magistrale,Altro istituto,2011,60,18,28
M,47,11,Istituto Magistrale,Altro istituto,2013,100,14.75,28
M,53,6,Istituto Magistrale,Altro istituto,2013,60,12.25,28
F,52,14,Istituto Magistrale,Altro istituto,NA,87,13.75,28
F,51,2,Istituto per Corrispondenti Esteri,Istituto Tecnico Commerciale,2012,100,14.5,28
F,48,17,Istituto per Corrispondenti Esteri,Istituto Tecnico Commerciale,2013,73,11.25,28
F,48,38,Istituto per Corrispondenti Esteri,Istituto Tecnico Commerciale,2013,98,8.25,28
F,48,43,Istituto per Corrispondenti Esteri,Istituto Tecnico Commerciale,2013,75,8.75,28
M,48,17,Istituto Professionale,Istituto Professionale,2012,60,9.75,28
M,47,17,Istituto Professionale,Istituto Professionale,2013,64,11,28
M,48,17,Istituto Professionale,Istituto Professionale,2013,60,11.5,28
F,100,5,Istituto Professionale,Istituto Professionale,2013,67,16.5,28
M,53,10,Istituto Professionale,Istituto Professionale,2013,83,12.5,28
F,47,13,Istituto Professionale,Istituto Professionale,2013,75,10.75,28
M,48,17,Istituto Professionale,Istituto Professionale,2013,76,10,28
M,100,5,Istituto Professionale Alberghiero,Istituto Professionale,2011,98,14.5,28
F,48,17,Istituto Professionale Alberghiero,Istituto Professionale,2012,85,12.75,28
F,48,17,Istituto Professionale Alberghiero,Istituto Professionale,2012,85,8.75,28
F,48,4,Istituto Professionale Alberghiero,Istituto Professionale,2007,64,12.5,28
M,100,5,Istituto Professionale Alberghiero,Istituto Professionale,2013,63,11,28
F,48,38,Istituto Professionale Alberghiero,Istituto Professionale,2013,92,15.5,28
M,100,5,Istituto Professionale Alberghiero,Istituto Professionale,2013,85,11.25,28
M,48,14,Istituto Professionale Alberghiero,Istituto Professionale,2012,77,17,28
F,100,5,Istituto Professionale Alberghiero,Istituto Professionale,2013,82,13.25,28
