"consumo","temperatura","isolamento"
203.88129552,-0.8,0
195.38624154,-0.7,0
181.22781824,0.4,0
169.9010796,2.5,0
164.23771028,2.9,0
164.23771028,3.2,0
158.57434096,3.6,0
133.08917902,3.9,0
164.23771028,4.2,0
147.24760232,4.3,0
138.75254834,5.4,0
138.75254834,6,0
121.76244038,6,0
124.59412504,6,0
127.4258097,6.2,0
130.25749436,6.3,0
104.77233242,6.9,0
110.43570174,7,0
118.93075572,7.4,0
113.2673864,7.5,0
110.43570174,7.5,0
99.1089631,7.6,0
113.2673864,8,0
101.94064776,8.5,0
87.78222446,9.1,0
73.62380116,10.2,0
135.92086368,-0.7,1
130.25749436,0.8,1
133.08917902,1,1
113.2673864,1.4,1
118.93075572,1.5,1
118.93075572,1.6,1
116.09907106,2.3,1
113.2673864,2.5,1
99.1089631,2.5,1
90.61390912,3.1,1
110.43570174,3.9,1
99.1089631,4,1
104.77233242,4,1
99.1089631,4.2,1
99.1089631,4.3,1
104.77233242,4.6,1
99.1089631,4.7,1
96.27727844,4.9,1
104.77233242,4.9,1
113.2673864,4.9,1
101.94064776,5,1
104.77233242,5.3,1
79.28717048,6.2,1
84.9505398,7.1,1
79.28717048,7.2,1
73.62380116,7.5,1
76.45548582,8,1
79.28717048,8.7,1
36.81190058,8.8,1
42.4752699,9.7,1
